"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.94","43.17","HAMILTON A","6153193","2020-01-01","2020","01","01","","1.4","","-5.1","","-1.9","","19.9","","0.0","","0.0","","0.0","T","0.0","T","2","","26","","45",""
"-79.94","43.17","HAMILTON A","6153193","2020-01-02","2020","01","02","","5.2","","1.1","","3.2","","14.8","","0.0","","0.0","","0.0","","0.0","","1","","22","","45",""
"-79.94","43.17","HAMILTON A","6153193","2020-01-03","2020","01","03","","6.9","","2.3","","4.6","","13.4","","0.0","","0.0","","0.0","","0.0","","","","24","","32",""
"-79.94","43.17","HAMILTON A","6153193","2020-01-04","2020","01","04","","2.2","","-1.3","","0.5","","17.5","","0.0","","0.6","","3.6","","4.2","","2","","30","","33",""
"-79.94","43.17","HAMILTON A","6153193","2020-01-05","2020","01","05","","1.0","","-1.9","","-0.5","","18.5","","0.0","","0.0","","3.2","","3.2","","2","","28","","37",""
"-79.94","43.17","HAMILTON A","6153193","2020-01-06","2020","01","06","","1.4","","-5.7","","-2.2","","20.2","","0.0","","0.0","","2.4","","2.8","","5","","24","","59",""
"-79.94","43.17","HAMILTON A","6153193","2020-01-07","2020","01","07","","3.2","","-5.4","","-1.1","","19.1","","0.0","","0.0","","0.0","T","0.0","T","3","","26","","54",""
"-79.94","43.17","HAMILTON A","6153193","2020-01-08","2020","01","08","","-0.7","","-10.1","","-5.4","","23.4","","0.0","","0.0","","1.4","","1.0","","4","","31","","61",""
"-79.94","43.17","HAMILTON A","6153193","2020-01-09","2020","01","09","","5.0","","-12.6","","-3.8","","21.8","","0.0","","0.0","","0.0","T","0.0","T","3","","20","","52",""
"-79.94","43.17","HAMILTON A","6153193","2020-01-10","2020","01","10","","7.2","","3.7","","5.5","","12.5","","0.0","","3.6","","0.0","","3.6","","0","T","22","","65",""
"-79.94","43.17","HAMILTON A","6153193","2020-01-11","2020","01","11","","12.3","","1.7","","7.0","","11.0","","0.0","","41.2","","0.0","","41.2","","","","4","","63",""
"-79.94","43.17","HAMILTON A","6153193","2020-01-12","2020","01","12","","1.7","","-4.8","","-1.6","","19.6","","0.0","","8.2","","0.0","T","8.2","","","","3","","68",""
"-79.94","43.17","HAMILTON A","6153193","2020-01-13","2020","01","13","","2.4","","-3.2","","-0.4","","18.4","","0.0","","0.0","","0.8","","1.2","","1","","","M","","M"
"-79.94","43.17","HAMILTON A","6153193","2020-01-14","2020","01","14","","3.1","","-4.3","","-0.6","","18.6","","0.0","","0.0","T","0.0","","0.0","T","","","27","","52",""
