"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-01 00:00","2020","05","01","00:00","9.9","","9.5","","98","","25","","2","","","M","98.17","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-01 01:00","2020","05","01","01:00","10.0","","9.6","","97","","0","","1","","","M","98.16","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-01 02:00","2020","05","01","02:00","10.3","","9.8","","97","","26","","4","","","M","98.18","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-01 03:00","2020","05","01","03:00","10.4","","9.9","","97","","26","","4","","","M","98.21","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-01 04:00","2020","05","01","04:00","10.4","","9.8","","96","","28","","7","","","M","98.27","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-01 05:00","2020","05","01","05:00","9.3","","8.4","","95","","32","","17","","","M","98.30","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-01 06:00","2020","05","01","06:00","8.7","","8.0","","95","","32","","17","","","M","98.40","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-01 07:00","2020","05","01","07:00","8.4","","7.3","","92","","33","","14","","","M","98.47","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-01 08:00","2020","05","01","08:00","7.7","","6.5","","92","","34","","16","","","M","98.56","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-01 09:00","2020","05","01","09:00","8.1","","6.6","","90","","34","","22","","","M","98.64","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-01 10:00","2020","05","01","10:00","8.5","","6.5","","87","","33","","22","","","M","98.71","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-01 11:00","2020","05","01","11:00","8.7","","6.3","","84","","35","","26","","","M","98.77","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-01 12:00","2020","05","01","12:00","9.2","","6.4","","82","","33","","16","","","M","98.81","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-01 13:00","2020","05","01","13:00","11.4","","6.5","","71","","35","","28","","","M","98.82","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-01 14:00","2020","05","01","14:00","13.8","","6.1","","59","","35","","30","","","M","98.83","","","","","","NA"
